Date,Open,High,Low,Close,Volume,MarketCap
1980-06-12,1.6695445889944602,1.6806014776229858,1.6584882474928897,1.6806014776229858,173825,374023976.2343741
1980-06-13,1.6861305365321964,1.7358851937511204,1.6861305365321964,1.7248284816741943,61401,383866856.9722653
1980-06-16,1.7248272665283215,1.7745818886949682,1.719298914384599,1.763525366783142,236955,392478989.60992336
1980-06-17,1.7635262494638877,1.7690546043746642,1.741413012196491,1.752469539642334,119342,390018475.0365257
1980-06-18,1.7524687630277498,1.757996933112982,1.7248273654746995,1.7358840703964231,50158,386327318.4847402
1980-06-19,1.735884155491724,1.7524688489360538,1.724827450027986,1.7303556203842163,46699,385096941.8109656
1980-06-20,1.7192996822977251,1.7192996822977251,1.6971864462217323,1.7027148008346558,94263,378945376.8076277
1980-06-23,1.7082436084747314,1.7414131942805076,1.7082436084747314,1.7082436084747314,318246,380175833.07278633
1980-06-24,1.7082433378232798,1.7137715100605029,1.675073210145739,1.7027148008346558,535311,378945376.8076277
1980-06-25,1.7027146221200895,1.7635259693524707,1.6971862680874144,1.746941089630127,326894,388788098.362751
1980-06-26,1.7469413671072678,1.7635262494638877,1.724828129839871,1.752469539642334,259440,390018475.0365257
1980-06-27,1.752469780062354,1.802224433958017,1.752469780062354,1.7801111936569214,201498,396170225.7530928
1980-06-30,1.7579970794696167,1.7579970794696167,1.7137709856033323,1.7137709856033323,671950,381405970.9724092
1980-07-01,1.7137709856033323,1.7192991561487956,1.7027142797611166,1.7137709856033323,236955,381405970.9724092
1980-07-02,1.7137713301854396,1.746941089630127,1.708243158528446,1.746941089630127,195445,388788098.362751
1980-07-03,1.76905398574112,1.8464500155482528,1.76905398574112,1.835393309593201,223983,408473461.8816138
1980-07-07,1.8353932597305584,1.8796197175979616,1.8353932597305584,1.8796197175979608,522339,418316209.9671983
1980-07-08,1.8796197923188749,1.890676498413086,1.8796197923188749,1.890676498413086,170366,420776936.7842865
1980-07-09,1.8906768628035664,1.8906768628035664,1.874091982841492,1.874091982841492,291438,417085992.4761916
1980-07-10,1.8740919966104128,1.8796201683879303,1.8298653457604743,1.840922236442566,130585,409703944.6772337
1980-07-11,1.846449634669008,1.8740912114791832,1.846449634669008,1.8575061559677124,274142,413394756.3330221
1980-07-14,1.85750648866426,1.8796197175979616,1.840921794933536,1.8796197175979608,212741,418316209.9671983
1980-07-15,1.9127893894560903,1.968072373551112,1.9127893894560903,1.9625442028045648,525798,436771355.9950542
1980-07-16,1.962545181555236,1.9736018933137789,1.9459604786689064,1.9570168256759644,205822,435541218.0954313
1980-07-17,1.940430283546448,1.940430283546448,1.9349019323876475,1.940430283546448,283654,431849822.7694941
1980-07-18,1.9404307771424831,1.9514874822726271,1.890676333559367,1.9183179140090945,311328,426928634.439931
1980-07-21,1.9183184307612755,1.9293747741184848,1.9017333685984128,1.9238466024398804,166906,428159064.17462826
1980-07-22,1.923846084198533,1.945959312083188,1.912789196692756,1.9183179140090945,307004,426928634.439931
1980-07-23,1.9183185407473944,1.9293748847385164,1.8962053056380728,1.912789821624756,153070,425698337.3575402
1980-07-24,1.912790113326633,1.9183188332924053,1.8132811784744265,1.8132811784744265,236090,403552326.6129733
1980-07-25,1.802224161038068,1.802224161038068,1.769054579173066,1.7856396436691284,513691,397400602.4268675
1980-07-28,1.7856403097426152,1.8243380784988403,1.7579983428958903,1.8243380784988403,586334,406013079.96052265
1980-07-29,1.8851484145198727,1.912789821624756,1.8851484145198727,1.912789821624756,370999,425698337.3575402
1980-07-30,1.912789821624756,1.9570162918433984,1.9072616496291948,1.912789821624756,764483,425698337.3575402
1980-07-31,1.9127898619127988,1.990186095237732,1.896205345576805,1.990186095237732,302680,442923159.7725439
1980-08-01,1.9901862612187904,2.012299498638109,1.9736015611239408,2.0067713260650635,350244,446614263.2634068
1980-08-04,2.0067719202141707,2.012300094423954,1.9680736064910889,1.9680736064910889,645141,438001944.91251945
1980-08-05,1.968072234643464,1.968072234643464,1.945959370842366,1.9514875411987305,197174,434310655.7084274
1980-08-06,1.945960838411661,1.945960838411661,1.923847593182322,1.9293757677078247,240414,429389600.0311709
1980-08-07,1.9349038317293223,1.9680736064910889,1.9349038317293223,1.9680736064910889,376188,438001944.91251945
1980-08-08,1.995713710784912,2.023355475514645,1.995713710784912,1.995713710784912,836262,444153350.7330895
1980-08-11,1.9901852402258124,1.9901852402258124,1.9514873225642189,1.97912871837616,837991,440462300.3031493
1980-08-12,1.97912871837616,2.012298466300736,1.968072014150889,1.97912871837616,287978,440462300.3031493
1980-08-13,1.9791286965475128,2.00124192237854,1.962543822768146,2.00124192237854,380512,445383674.3459416
1980-08-14,2.001243019732589,2.067582368850708,2.001243019732589,2.067582368850708,443642,460147982.1875477
1980-08-15,2.106280898016492,2.122865600293427,2.106280898016492,2.111809253692627,616602,469990836.3949776
1980-08-18,2.10075262406963,2.10075262406963,2.073111206965365,2.0786397457122803,971170,462608841.6569424
1980-08-19,2.073110405192716,2.073110405192716,2.0509975353874883,2.056525707244873,523204,457687281.90092087
1980-08-20,2.056525598676848,2.084167003631592,2.0344123652876447,2.084167003631592,112424,463838953.026104
1980-08-21,2.0896965581402385,2.133923050327541,2.0896965581402385,2.122866153717041,541365,472451589.742527
1980-08-22,2.122866233010007,2.156036376953125,2.122866233010007,2.156036376953125,653789,479833743.6633301
1980-08-25,2.139451225069117,2.139451225069117,2.122866153717041,2.122866153717041,131450,472451589.742527
1980-08-26,2.122865024622821,2.122865024622821,2.100751790290598,2.1062803268432617,528393,468760353.5993576
1980-08-27,2.09522363974932,2.09522363974932,2.056525707244873,2.056525707244873,294032,457687281.90092087
1980-08-28,2.056525707244873,2.078638941801477,2.034412472688269,2.056525707244873,173825,457687281.90092087
1980-08-29,2.056526099646346,2.0675824454707543,2.02335633267023,2.0344128608703613,87345,452765987.4495125
1980-09-02,2.0344128608703613,2.045469206694769,2.0067714491821724,2.0344128608703613,179014,452765987.4495125
1980-09-03,2.0344128786366507,2.073110818862915,2.0344128786366507,2.073110818862915,178149,461378358.8613224
1980-09-04,2.089695446688016,2.111808681020239,2.089695446688016,2.1062803268432617,329489,468760353.5993576
1980-09-05,2.1062806720564,2.1173371998468,2.067582368850708,2.067582368850708,186797,460147982.1875477
1980-09-08,2.0675826490175786,2.078639543057671,2.0288848876953125,2.0288848876953125,171230,451535716.897583
1980-09-09,2.017826371968618,2.017826371968618,1.9736002903577912,1.984656810760498,528393,441692597.38554
1980-09-10,2.0178281903810764,2.0952244500742325,2.0178281903810764,2.0786397457122803,457479,462608841.6569424
1980-09-11,2.078639478157154,2.100752353668213,2.078639478157154,2.100752353668213,134044,467530083.0474281
1980-09-12,2.100752353668213,2.106280891703514,2.089696007100552,2.100752353668213,314787,467530083.0474281
1980-09-15,2.1007529076233893,2.1283943284586164,2.0896965581402385,2.122866153717041,302680,472451589.742527
1980-09-16,2.133922383852076,2.2113184474435217,2.133922383852076,2.1947333812713623,524934,488445902.8314495
1980-09-17,2.211318780608059,2.255544900894165,2.211318780608059,2.255544900894165,452290,501979727.8774357
1980-09-18,2.2555443458447537,2.2555443458447537,2.211318236441908,2.244488000869751,652924,499518974.5298863
1980-09-19,2.2444868507158104,2.26107172443106,2.238958498685522,2.2500150203704834,238685,500749032.8381252
1980-09-22,2.25001563955158,2.288713932037353,2.25001563955158,2.288713932037353,159123,509361616.4936255
1980-09-23,2.288714012484049,2.3439968204408808,2.288714012484049,2.2997703552246094,530987,511822263.7193298
1980-09-24,2.2997703552246094,2.321883587832745,2.2721289512461937,2.2997703552246094,493801,511822263.7193298
1980-09-25,2.29976978227477,2.310826304636451,2.277656555175781,2.277656555175781,337272,506900757.0242309
1980-09-26,2.2666004268908946,2.2666004268908946,2.189204216003418,2.189204216003418,233496,487215366.9749069
1980-09-29,2.1670915684468777,2.1670915684468777,2.117336926255538,2.1615633964538574,156529,481063801.97156906
1980-09-30,2.161562763636182,2.1836759922614872,2.15050587576007,2.172619104385376,75238,483524290.0145054
1980-10-01,2.172618588797816,2.2168450355529785,2.172618588797816,2.2168450355529785,317382,493366931.9782448
1980-10-02,2.2721302493703304,2.3661110401153564,2.2721302493703304,2.3661110401153564,212741,526586624.6218586
1980-10-03,2.366110286032818,2.366110286032818,2.3495257677323385,2.360582113265991,181608,525356141.8262386
1980-10-06,2.366109463886146,2.399279583215868,2.366109463886146,2.3882226943969727,364946,531507653.76865387
1980-10-07,2.388223524227278,2.388223524227278,2.355053940499165,2.360582113265991,633898,525356141.8262386
1980-10-08,2.360581459311088,2.360581459311088,2.3329400560073346,2.34399676322937,437589,521665011.8049145
1980-10-09,2.343997200730549,2.3550537276405894,2.299770728338983,2.3108272552490234,159123,514283017.0668793
1980-10-10,2.3108273381369084,2.3439972848082182,2.261072874069214,2.261072874069214,232631,503209998.4293652
1980-10-13,2.266600215189727,2.277656555175781,2.266600215189727,2.277656555175781,41510,506900757.0242309
1980-10-14,2.2776574921432,2.3108272552490234,2.2776574921432,2.3108272552490234,209282,514283017.0668793
1980-10-15,2.321883531160967,2.34399676322937,2.321883531160967,2.34399676322937,995385,521665011.8049145
1980-10-16,2.3439971366693024,2.3605818353932544,2.2555441943035817,2.266601085662842,162582,504440322.04221725
1980-10-17,2.255544900894165,2.255544900894165,2.233431658375358,2.255544900894165,337272,501979727.8774357
1980-10-20,2.2444885031588155,2.2444885031588155,2.1892054892821786,2.2113187313079834,250792,492137032.85277367
1980-10-21,2.227901794624945,2.2555431900251564,2.227901794624945,2.2500150203704834,904581,500749032.8381252
1980-10-22,2.250016164386875,2.272129401375845,2.238959637080244,2.261072874069214,216200,503209998.4293652
1980-10-23,2.2610723762377125,2.2831852436065674,2.2500156689897834,2.2831852436065674,135774,508131186.7589283
1980-10-24,2.2831845854253667,2.2831845854253667,2.238958498685522,2.2500150203704834,176419,500749032.8381252
1980-10-27,2.2500167270462788,2.261073439493559,2.238960196974752,2.255544900894165,351109,501979727.8774357
1980-10-28,2.25554384023808,2.2997703044784616,2.25554384023808,2.2831852436065674,179878,508131186.7589283
1980-10-29,2.310826773515831,2.3384681762164385,2.310826773515831,2.327411651611328,252522,517973934.84451294
1980-10-30,2.3274120731939574,2.338468599801824,2.266601085662842,2.266601085662842,247333,504440322.04221725
1980-10-31,2.2555435387452434,2.2555435387452434,2.1781475102334107,2.189204216003418,1314496,487215366.9749069
1980-11-03,2.1892048035460374,2.1892048035460374,2.1560352244608367,2.1615633964538574,506773,481063801.97156906
1980-11-05,2.216845609532663,2.2555435324934976,2.216845609532663,2.222373962402344,1268662,494597414.77386487
1980-11-06,2.2223740136230616,2.2223740136230616,2.167091030779037,2.178147554397583,1010951,484754666.6882801
1980-11-07,2.1449786378842868,2.1449786378842868,2.1118090540897847,2.117337226867676,266358,471221106.94690704
1980-11-10,2.1173375412759463,2.139450782798312,2.111809367677164,2.1283938884735107,343326,473681807.23353386
1980-11-11,2.128394011618264,2.178148853516242,2.128394011618264,2.1670923233032227,443642,482294284.767189
1980-11-12,2.167091969069216,2.1947333812713623,2.167091969069216,2.1947333812713623,241279,488445902.8314495
1980-11-13,2.2002605338927608,2.277656555175781,2.2002605338927608,2.277656555175781,1040354,506900757.0242309
1980-11-14,2.2776569267976785,2.3108266816703167,2.2666005850076743,2.305298328399658,1186506,513052534.2712593
1980-11-17,2.305300273560245,2.321885347366333,2.29424392244114,2.321885347366333,147016,516744035.7190418
1980-11-18,2.321883964534766,2.3550537276405894,2.3108272552490234,2.3108272552490234,524934,514283017.0668793
